Item,Qty,Reference(s),Value,LibPart,Digikey
1,1,C1,150pF,Device:C,732-12190-1-ND
2,5,"C2, C5, C19, C23, C27",10uF,Device:C,1276-6455-1-ND
3,1,C3,1nF,Device:C,478-1371-1-ND
4,1,C4,47uF,Device:C,587-5425-1-ND
5,13,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",0.1uF,Device:C,445-6808-1-ND
6,1,C22,390pF,Device:C,399-1132-1-ND
7,2,"C24, C25",10nF,Device:C,1276-1015-1-ND
8,2,"D1, D2",BAS16J,Diode:1N4148W,1727-4797-1-ND
9,7,"D3, D4, D5, D6, D7, D8, D9",BAV23S,Diode:BAV99,BAV23SFSCT-ND
10,1,F1,Polyfuse,Device:Polyfuse_Small,490-8510-1-ND
11,2,"FB1, FB2",74279220321,Device:Ferrite_Bead,732-6125-1-ND
15,1,L1,4.7uH,2021-01-06_02-33-04:NRS6020T2R2NMGJ,587-4451-1-ND
16,1,Q1,FQT7N10L,Transistor_FET:IRF6655,FQT7N10LTFCT-ND
17,1,Q2,BC846A,Transistor_BJT:BC846,BC846A-7FDICT-ND
18,2,"Q3, Q4",MMBT3906,Transistor_BJT:MMBT3906,MMBT3906LT1GOSCT-ND
19,1,R1,4.99M,Device:R,RHM4.99MAICT-ND
20,1,R3,100K,Device:R,RMCF0805FT100KCT-ND
21,1,R4,10K,Device:R,RNCP0805FTD10K0CT-ND
22,3,"R5, R12, R25",100,Device:R,A106053CT-ND
23,1,R6,121k,Device:R,2019-RK73H2ATTD1213FCT-ND
24,4,"R7, R8, R9, R10",22M,Device:R,RMCF0805FT22M0CT-ND
25,1,R11,33k,Device:R,A129767CT-ND
26,2,"R13, R19",100k,Device:R,RMCF0805FT100KCT-ND
27,1,R14,357k,Device:R,2019-RK73H2ATTD3573FCT-ND
28,1,R15,220k,Device:R,CR0805-FX-2203ELFCT-ND
29,1,R16,1M,Device:R,YAG3361CT-ND
30,1,R17,499k,Device:R,RMCF0805FT499KCT-ND
31,1,R18,1k,Device:R,RNCP0805FTD1K00CT-ND
32,1,R20,118K,Device:R,311-118KCRCT-ND
33,1,R21,47k,Device:R,311-47.0KCRCT-ND
34,1,R22,20k,Device:R,RMCF0805FT20K0CT-ND
35,2,"R23, R27",1.54M,Device:R,311-1.54MCRCT-ND
36,1,R24,22k,Device:R,CR0805-FX-2202ELFCT-ND
37,1,R26,0.1E,Device:R,408-1556-1-ND
40,1,U2,74HC14,74xx:74HC14,296-9179-1-ND
41,1,U3,MAX9910EXK+T,Amplifier_Operational:MCP6L01Ux-xOT,MAX9910EXK+TCT-ND
42,1,U4,CD14538BM,4xxx:4538,296-32849-5-ND
43,1,Fuse Holder,,,40626-ND
