"Source:","C:\Users\allan\OneDrive - Joho NZ\Safecast\1.2.1d\SafePulse\SafePulse.kicad_sch"
"Date:","2021.05.11 9:36:31 PM"
"Tool:","Eeschema (5.99.0-10336-g9846076676)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","C1","150pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012207111/9346002","732-12190-1-ND"
"","","C2","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417","1276-6455-1-ND"
"","","C3","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/avx-corporation/08055C102KAT2A/563481","478-1371-1-ND"
"","","C4","47uF","Device:C","Capacitor_SMD:C_1210_3225Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/EMK316BBJ476ML-T/7067010","587-5425-1-ND"
"","","C5","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417","1276-6455-1-ND"
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C9","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C10","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C11","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C12","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C13","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C14","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C15","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C16","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C17","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C18","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"","","C19","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417","1276-6455-1-ND"
"","","C22","390pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf","399-1132-1-ND"
"","","C23","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417","1276-6455-1-ND"
"","","C24","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673","1276-1015-1-ND"
"","","C25","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673","1276-1015-1-ND"
"","","C27","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417","1276-6455-1-ND"
"","","D1","BAS16J","Diode:1N4148W","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996","1727-4797-1-ND"
"","","D2","BAS16J","Diode:1N4148W","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996","1727-4797-1-ND"
"","","D3","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","D4","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","D5","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","D6","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","D7","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","D8","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","D9","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
"","","F1","Polyfuse","Device:Polyfuse_Small","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/PRG21BC0R6MM1RA/2595395?s=N4IgTCBcDaICwE4AMBaAHAVgIyqygcgCIgC6AvkA","490-8510-1-ND"
"","","FB1","74279220321","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74279220321/5051034","732-6125-1-ND"
