"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C11,C16,C13,C17,C6,C7,C14,C12,C20,C18,C9,C21,C8";"R_0805_2012Metric";13;"0.1";;;
2;"H2";"TestPoint_THTPad_2.5x2.5mm_Drill1.2mm";1;"Anode";;;
3;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
4;"D8,D4,D3,D6,D7,D9,D5";"SOT-23";7;"BAV23";;;
5;"C2,C5,C10";"C_0805_2012Metric";3;"1uF";;;
6;"R8,R7,R10,R9";"R_0805_2012Metric";4;"22M";;;
7;"D1,D2";"D_SOT-23_ANK";2;"BAS16";;;
8;"R5";"R_0805_2012Metric";1;"R";;;
9;"H1";"TestPoint_THTPad_2.5x2.5mm_Drill1.2mm";1;"Cathode";;;
10;"U3";"SOT-23-5";1;"MAX4162";;;
11;"R1,R2";"R_1206_3216Metric";2;"10M";;;
12;"R23";"R_0805_2012Metric";1;"3.16M";;;
13;"L1";"L_Taiyo-Yuden_MD-4040";1;"2.2uH";;;
14;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC14";;;
15;"J2,J1";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Male";;;
16;"FB2,FB1";"R_0805_2012Metric";2;"Ferrite_Bead";;;
17;"R3,R4";"R_0805_2012Metric";2;"100K";;;
18;"Q1";"SOT-223-3_TabPin2";1;"FQT7N10";;;
19;"R21";"R_0805_2012Metric";1;"47k";;;
20;"R12";"R_0805_2012Metric";1;"100";;;
21;"Q3";"SOT-363_SC-70-6";1;"MMDT3906";;;
22;"R17";"R_0805_2012Metric";1;"499k";;;
23;"C15,C22,C19";"C_0805_2012Metric";3;"C";;;
24;"R6";"R_0805_2012Metric";1;"121k";;;
25;"R22";"R_0805_2012Metric";1;"20k";;;
26;"R20";"R_0805_2012Metric";1;"560K";;;
27;"Q2";"SOT-23";1;"BC846";;;
28;"R18";"R_0805_2012Metric";1;"1k";;;
29;"C1";"C_0805_2012Metric";1;"0.1";;;
30;"R14";"R_0805_2012Metric";1;"1M49";;;
31;"R11";"R_0805_2012Metric";1;"33k";;;
32;"R13,R19";"R_0805_2012Metric";2;"100k";;;
33;"U4";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CD14538BM";;;
34;"R15";"R_0805_2012Metric";1;"392k";;;
35;"U1";"SOT-23";1;"MAX6008AEUR+T";;;
36;"R16";"R_0805_2012Metric";1;"1M";;;
37;"C4";"C_1210_3225Metric";1;"10uF";;;
38;"C3";"C_0805_2012Metric";1;"1nF";;;
