"device_urn","device","Average pms_pm02_5","Average pms2_pm02_5","Average bat_voltage","Count"
note:dev:865284040125720,606965503,9.42,,4.08,6
note:dev:865284040125316,3781873877,22.2,17.7,4.07,8
note:dev:865284040125290,3239220703,12.8,11.1,4.08,8
note:dev:865284040122792,3019902625,4.89,6.36,4.14,12
note:dev:865284040102018,3817023570,,,3.66,2
note:dev:865284040097945,503765699,7.25,6.91,4.07,10
note:dev:865284040097903,2466888434,8.15,7.72,4.02,8
note:dev:865284040095238,2309625811,4.42,6.13,4.11,8
note:dev:865284040083945,2885968932,2.88,3.78,4.08,4
note:dev:865284040070801,1579300657,1.64,1.10,4.05,8
note:dev:864475044280740,861107402,6.79,,3.63,1
note:dev:864475044269867,1449473341,1.73,,3.98,3
note:dev:864475044262045,1397743658,0.346,,3.90,5
note:dev:864475044261880,2469832191,17.6,,4.18,2
note:dev:864475044261583,48719638,3.61,,3.93,2
note:dev:864475044252673,3526103230,0,,3.91,3
note:dev:864475044250503,891482283,0,,4.16,2
note:dev:864475044245586,2268026798,0.0857,,4.02,4
note:dev:864475044240892,2791293335,0.859,,4.89,32
note:dev:864475044240090,1178792195,2.22,,3.98,4
note:dev:864475044238805,2657950594,8.63,,4.69,5
note:dev:864475044236726,3738245300,13.2,,4.03,4
note:dev:864475044236700,92593923,0.471,,4.18,4
note:dev:864475044236247,4182199631,0.306,,5.03,9
note:dev:864475044235611,2028935949,2.68,,4.06,12
note:dev:864475044235181,2892150465,0.582,,4.21,4
note:dev:864475044233244,1469115591,13.8,,3.70,2
note:dev:864475044232501,4268076204,10.5,,4.12,4
note:dev:864475044231990,1125085689,0,,3.74,2
note:dev:864475044231396,2818265370,6.84,,4.24,4
note:dev:864475044224763,1572784132,1.09,,4.19,4
note:dev:864475044221660,4071293883,5.76,,3.62,2
note:dev:864475044216389,3376944659,0.335,,4.06,9
note:dev:864475044215837,3554976464,21.7,,3.80,2
note:dev:864475044210317,3663323009,3.86,,4.09,5
note:dev:864475044191236,2431826344,12.0,,4.14,4
note:dev:864475044191012,2788019037,6.48,,4.15,8
note:dev:864475044191004,1448435497,4.98,,4.08,8
note:dev:864475044190998,961344673,6.95,,4.10,4
note:dev:864475044190907,2016498297,2.81,,4.09,4
note:dev:864475044190824,3536587638,25.0,,4.10,5
note:dev:864475044190782,3390833140,2.35,,4.11,5
note:dev:864475044188877,3462836182,0,,4.15,4
note:dev:864475044186848,2502661815,3.41,,4.02,8
note:dev:864475044186681,1255951381,6.94,,4.21,9
note:dev:864475044185956,2029997864,0.999,,4.01,5
note:dev:864475041076489,1555528602,0.500,,3.91,1
note:dev:864475041064121,958478578,0,,4.16,2
note:dev:864475040533365,4197040207,8.98,,4.19,6
note:dev:864475040529876,615745153,,,4.16,30
note:dev:864475040529843,2146705869,5.49,,4.06,5

