"Source:","/home/rob/Documents/PlatformIO/Projects/OpenHVPS/Kicad files/OpenHVPS-5/OpenHVPS-5.kicad_sch"
"Date:","Sun 07 Feb 2021 04:32:00 PM JST"
"Tool:","Eeschema 5.99.0-unknown-65ca3da22d~101~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","150pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012207111/9346002"
"","","C2","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KOFNNNG/3894469"
"","","C3","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.jp/product-detail/en/CL21B105KOFNNNG/1276-6471-1-ND/5958099/?itemSeq=353431115"
"","","C4","10uF","Device:C","Capacitor_SMD:C_1210_3225Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/EMK325BJ106KN-T/930729"
"","","C5","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KOFNNNG/3894469"
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C9","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C10","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C11","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C12","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C13","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C14","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C15","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C16","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C17","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C18","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C19","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
"","","C22","360pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/kemet/C0805C361J1GAC7800/2212653"
"","","C23","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KOFNNNG/3894469"
"","","C24","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.jp/product-detail/en/CL21B105KOFNNNG/1276-6471-1-ND/5958099/?itemSeq=353431115"
"","","D1","BAS16J","Diode:1N4148W","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996"
"","","D2","BAS16J","Diode:1N4148W","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996"
"","","D3","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","D4","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","D5","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","D6","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","D7","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","D8","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","D9","BAV23","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240"
"","","F1","Polyfuse","Device:Polyfuse_Small","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/PRG21BC0R2MM1RA/966726"
"","","FB1","BKP2125HS221-T","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/bourns-inc/MH2029-221Y/3767626"
"","","FB2","BKP2125HS221-T","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/bourns-inc/MH2029-221Y/3767626"
"","","H1","Cathode","Mechanical:MountingHole_Pad","TestPoint:TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded","~"
"","","H2","Anode","Mechanical:MountingHole_Pad","TestPoint:TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded","~"
"","","J1","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","L1","2.2uH","2021-01-06_02-33-04:NRS6020T2R2NMGJ","Inductor_SMD:L_Taiyo-Yuden_MD-4040","https://www.digikey.com/en/products/detail/taiyo-yuden/NRS6020T2R2NMGJ/2665967"
"","","Q1","FQT7N10","Transistor_FET:IRF6655","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.digikey.com/en/products/detail/on-semiconductor/FQT7N10LTF/965354"
"","","Q2","BC846A","Transistor_BJT:BC846","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/diodes-incorporated/BC846A-7-F/1934446"
"","","Q3","MMDT3906","Transistor_BJT:MMDT3906","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.digikey.com/en/products/detail/diodes-incorporated/MMDT3906-7-F/814540"
"","","R1","10M","Device:R","Resistor_SMD:R_1206_3216Metric","https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710ML/728484"
"","","R3","100K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712"
"","","R4","100K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712"
"","","R5","100","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830"
"","","R6","121k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD1213F/10235721"
"","","R7","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747"
"","","R8","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747"
"","","R9","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747"
"","","R10","22M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747"
"","","R11","33k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805F33K/8576369"
"","","R12","100","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830"
"","","R13","100k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712"
"","","R14","1M5","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051M50FKEA/1176034"
"","","R15","392k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07392KL/727905"
"","","R16","1M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071ML/1079056"
"","","R17","499k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT499K/1760301"
"","","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071KL/1079055"
"","","R19","100k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712"
"","","R20","560K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE07560KL/1079317"
"","","R21","47k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973"
"","","R22","20k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6ENF2002V/111532"
"","","R23","3.16M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-073M16L/727809"
"","","U1","MAX6008AEUR+T","Reference_Voltage:MAX6035xxUR30","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/maxim-integrated/MAX6008AEUR-T/1519060"
"","","U2","74HC14","74xx:74HC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD74HC14M96/390309"
"","","U3","MAX4162","Amplifier_Operational:TLV2371DBV","Package_TO_SOT_SMD:SOT-23-5","https://www.digikey.com/en/products/detail/maxim-integrated/MAX4162EUK-T/470825"
