,,
,Quantity,Digikey number
,,
,1,408-1556-1-ND
,3,A106053CT-ND
,1,YAG1240CT-ND
,1,RNCP0805FTD10K0CT-ND
,1,P20.0KCCT-ND
,1,A129767CT-ND
,1,311-47.0KCRCT-ND
,2,RMCF0805FT100KCT-ND
,1,2019-RK73H2ATTD1213FCT-ND
,1,311-392KCRCT-ND
,1,A126370CT-ND
,1,RMCF0805FT499KCT-ND
,1,YAG3361CT-ND
,1,541-1.50MCCT-ND
,1,311-3.16MCRCT-ND
,1,RHM4.7MAICT-ND
,5,RMCF0805FT22M0CT-ND
,1,732-12190-1-ND
,1,1276-1261-1-ND
,1,1276-1303-1-ND
,2,478-1371-1-ND
,1,1276-1015-1-ND
,1,587-5425-1-ND
,13,445-C2012X7T2E104K125AACT-ND
,5,1276-6455-1-ND
,2,1727-4797-1-ND
,7,BAV23SFSCT-ND
,1,BC846A-7FDICT-ND
,2,MMBT3906LT1GOSCT-ND
,1,FQT7N10LTFCT-ND
,1,296-9179-1-ND
,1,296-32849-5-ND
,1,MAX4162EUK+TCT-ND
,1,MAX6008AEUR+TCT-ND
,1,587-4451-1-ND
,2,445-172907-1-ND
,1,MAX6006AEUR+TCT-ND
,1,P357KDACT-ND
,1,311-1.54MCRCT-ND
