Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","C_0805_2012Metric",11.633200,7.188200,0.000000,top
"C5","1uF","C_0805_2012Metric",4.262000,17.978000,-90.000000,top
"C6","0.1uF","C_0805_2012Metric",12.762000,18.978000,0.000000,top
"C7","0.1uF","C_0805_2012Metric",13.762000,12.978000,0.000000,top
"C8","0.1uF","C_0805_2012Metric",16.262000,18.978000,0.000000,top
"C9","0.1uF","C_0805_2012Metric",17.350000,12.978000,0.000000,top
"C10","0.1uF","C_0805_2012Metric",19.762000,18.978000,0.000000,top
"C11","0.1uF","C_0805_2012Metric",20.762000,12.978000,0.000000,top
"C12","0.1uF","C_0805_2012Metric",23.262000,18.978000,0.000000,top
"C13","0.1uF","C_0805_2012Metric",24.262000,12.978000,0.000000,top
"C14","0.1uF","C_0805_2012Metric",26.762000,18.978000,0.000000,top
"C15","0.1uF","C_0805_2012Metric",27.762000,12.978000,0.000000,top
"C16","0.1uF","C_0805_2012Metric",30.350000,18.978000,0.000000,top
"C17","0.1uF","C_0805_2012Metric",31.350000,12.978000,0.000000,top
"C18","0.1uF","C_0805_2012Metric",33.762000,18.978000,0.000000,top
"D1","BAS16J","D_SOD-323",26.012000,7.228000,0.000000,top
"D3","BAV23S","SOT-23",13.716000,16.002000,90.000000,top
"D4","BAV23S","SOT-23",17.262000,15.978000,90.000000,top
"D5","BAV23S","SOT-23",20.762000,15.978000,90.000000,top
"D6","BAV23S","SOT-23",24.262000,15.978000,90.000000,top
"D7","BAV23S","SOT-23",27.762000,15.978000,90.000000,top
"D8","BAV23S","SOT-23",31.262000,15.978000,90.000000,top
"D9","BAV23S","SOT-23",34.762000,15.978000,90.000000,top
"F1","Polyfuse","R_0805_2012Metric",2.262000,6.477000,90.000000,top
"FB1","BKP2125HS221-T","R_0805_2012Metric",5.258500,6.477000,-90.000000,top
"FB2","BKP2125HS221-T","R_0805_2012Metric",1.762000,17.978000,90.000000,top
"G***","LOGO","QR_code_SafePulse",29.718000,13.970000,0.000000,top
"G2","LOGO","HV warning",35.052000,10.922000,0.000000,top
"H1","Cathode","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",11.938000,2.413000,0.000000,top
"H2","Anode","TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded",36.322000,6.223000,90.000000,top
"H4","Anode","TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded",36.322000,2.413000,0.000000,top
"J1","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",2.262000,2.413000,90.000000,top
"L1","4.7uH","L_Taiyo-Yuden_MD-4040",8.262000,17.978000,-90.000000,top
"Q1","FQT7N10","SOT-223-3_TabPin4",5.588000,11.938000,0.000000,top
"R1","4.7M","R_1206_3216Metric",39.012000,11.658000,-90.000000,top
"R3","100K","R_0805_2012Metric",27.012000,2.032000,0.000000,top
"R4","10K","R_0805_2012Metric",27.012000,4.699000,0.000000,top
"R5","100","R_0805_2012Metric",8.255000,6.477000,-90.000000,top
"R7","22M","R_0805_2012Metric",30.226000,10.160000,180.000000,top
"R8","22M","R_0805_2012Metric",25.226000,10.160000,180.000000,top
"R9","22M","R_0805_2012Metric",20.226000,10.160000,180.000000,top
"R10","22M","R_0805_2012Metric",14.726000,10.160000,0.000000,top
"R23","3.16M","R_0805_2012Metric",30.262000,7.366000,-90.000000,top
"U2","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",19.812000,4.572000,90.000000,top
"two_pinheader1","Conn_01x03_Male","PinHeader_1x02_P2.54mm_Vertical",38.862000,18.923000,0.000000,top
