Designator ,Val,Package,Mid X,Mid Y,Rotation,Layer
,LOGO,QR_code_SafePulse,157.226,-66.294,0,top
C2,1uF,C_0805_2012Metric,138.05,-70.5,0,top
C5,1uF,C_0805_2012Metric,130.5,-60,-90,top
C6,0.1uF,C_0805_2012Metric,139,-59,0,top
C7,0.1uF,C_0805_2012Metric,140,-65,0,top
C8,0.1uF,C_0805_2012Metric,142.5,-59,0,top
C9,0.1uF,C_0805_2012Metric,143.588,-65,0,top
C11,0.1uF,C_0805_2012Metric,146,-59,0,top
C12,0.1uF,C_0805_2012Metric,147,-65,0,top
C13,0.1uF,C_0805_2012Metric,149.5,-59,0,top
C14,0.1uF,C_0805_2012Metric,150.5,-65,0,top
C16,0.1uF,C_0805_2012Metric,153,-59,0,top
C17,0.1uF,C_0805_2012Metric,154,-65,0,top
C18,0.1uF,C_0805_2012Metric,156.588,-59,0,top
C20,0.1uF,C_0805_2012Metric,157.588,-65,0,top
C21,0.1uF,C_0805_2012Metric,160,-59,0,top
D1,BAS16J,D_SOD-323,153,-70.794,0,top
D3,BAV23,SOT-23,139.954,-61.976,90,top
D4,BAV23,SOT-23,143.5,-62,90,top
D5,BAV23,SOT-23,147,-62,90,top
D6,BAV23,SOT-23,150.5,-62,90,top
D7,BAV23,SOT-23,154,-62,90,top
D8,BAV23,SOT-23,157.5,-62,90,top
D9,BAV23,SOT-23,161,-62,90,top
F1,Polyfuse,R_0805_2012Metric,128.5,-71.5,90,top
FB1,BKP2125HS221-T,R_0805_2012Metric,132.65,-71.45,-90,top
FB2,BKP2125HS221-T,R_0805_2012Metric,128,-60,90,top
H1,Cathode,TestPoint_Loop_D3.80mm_Drill2.0mm,138.176,-74.5,0,top
H2,Anode,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,164.6,-70.65,90,top
H2,Anode,TestPoint_Loop_D3.80mm_Drill2.0mm,164.1,-75.075,90,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,128.5,-75.25,90,top
L1,NRS6020T2R2NMGJ,L_Taiyo-Yuden_MD-4040,134.5,-60,-90,top
Q1,FQT7N10,SOT-223-3_TabPin2,131.826,-66.04,0,top
R1,10M,R_1206_3216Metric,164.475,-66.15,-90,top
R3,100K,R_0805_2012Metric,153.25,-75.946,0,top
R4,100K,R_0805_2012Metric,153.25,-73.66,0,top
R5,100,R_0805_2012Metric,135.225,-71.425,-90,top
R7,22M,R_0805_2012Metric,156.464,-67.818,180,top
R8,22M,R_0805_2012Metric,151.464,-67.818,180,top
R9,22M,R_0805_2012Metric,146.464,-67.818,180,top
R10,22M,R_0805_2012Metric,140.964,-67.818,0,top
R23,3.16M,R_0805_2012Metric,156.5,-70.612,-90,top
REF**,PinHeader_1x01_P2.54mm_Vertical,PinHeader_1x01_P2.54mm_Vertical,164.62,-61.96,0,top
REF**,PinHeader_1x01_P2.54mm_Vertical,PinHeader_1x01_P2.54mm_Vertical,164.62,-59.166,0,top
U2,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,146.05,-73.406,90,top
