Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C11,C_0805_2012Metric,,1
Polyfuse,F1,R_0805_2012Metric,,1
0.1uF,C9,C_0805_2012Metric,,1
Anode,H2,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,,1
Anode,H4,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,,1
BAV23S,D8,SOT-23,,1
BAV23S,D4,SOT-23,,1
0.1uF,C12,C_0805_2012Metric,,1
0.1uF,C13,C_0805_2012Metric,,1
499k,R17,R_0805_2012Metric,,1
0.1uF,C10,C_0805_2012Metric,,1
BAV23S,D3,SOT-23,,1
22M,R8,R_0805_2012Metric,,1
74279220321,FB2,R_0805_2012Metric,,1
22M,R7,R_0805_2012Metric,,1
121k,R6,R_0805_2012Metric,,1
0.1uF,C15,C_0805_2012Metric,,1
BAV23S,D6,SOT-23,,1
Cathode,H1,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,,1
BAV23S,D7,SOT-23,,1
0.1uF,C6,C_0805_2012Metric,,1
10uF,C5,C_0805_2012Metric,,1
Conn_01x03_Male,J1,PinHeader_1x03_P2.54mm_Vertical,,1
LOGO,G3,HV warning,,1
4.99M,R1,R_1206_3216Metric,,1
0.1uF,C17,C_0805_2012Metric,,1
1k,R18,R_0805_2012Metric,,1
0.1uF,C7,C_0805_2012Metric,,1
0.1uF,C14,C_0805_2012Metric,,1
4.7uH,L1,L_Taiyo-Yuden_MD-4040,,1
33k,R11,R_0805_2012Metric,,1
22M,R10,R_0805_2012Metric,,1
0.1uF,C18,C_0805_2012Metric,,1
22M,R9,R_0805_2012Metric,,1
100k,R13,R_0805_2012Metric,,1
0.1uF,C16,C_0805_2012Metric,,1
LOGO,G***,QR_code_SafePulse,,1
CD14538BM,U4,SOIC-16_3.9x9.9mm_P1.27mm,,1
FQT7N10L,Q1,SOT-223-3_TabPin4,,1
BAV23S,D9,SOT-23,,1
BAS16J,D2,D_SOD-323,,1
10uF,C19,C_0805_2012Metric,,1
0.1uF,C8,C_0805_2012Metric,,1
BAV23S,D5,SOT-23,,1
1nF,C3,C_0805_2012Metric,,1
47k,R21,R_0805_2012Metric,,1
100,R12,R_0805_2012Metric,,1
MMBT3906,Q3,SOT-23,,1
22k,R24,R_0805_2012Metric,,1
10uF,C23,C_0805_2012Metric,,1
10uF,C2,C_0805_2012Metric,,1
10nF,C24,C_0805_2012Metric,,1
100,R25,R_0805_2012Metric,,1
20k,R22,R_0805_2012Metric,,1
BAS16J,D1,D_SOD-323,,1
100,R5,R_0805_2012Metric,,1
390pF,C22,C_0805_2012Metric,,1
MMBT3906,Q4,SOT-23,,1
118K,R20,R_0805_2012Metric,,1
BC846A,Q2,SOT-323_SC-70,,1
LOGO,G2,HV warning,,1
1.54M,R23,R_0805_2012Metric,,1
150pF,C1,C_0805_2012Metric,,1
357k,R14,R_0805_2012Metric,,1
74HC14,U2,SOIC-14_3.9x8.7mm_P1.27mm,,1
0.1E,R26,R_0805_2012Metric,,1
10uF,C27,C_0805_2012Metric,,1
100K,R3,R_0805_2012Metric,,1
10K,R4,R_0805_2012Metric,,1
TLV27L1DBVT,U3,SOT-23-5,,1
220k,R15,R_0805_2012Metric,,1
TS4061AILT-1.25,U1,SOT-23,,1
1M,R16,R_0805_2012Metric,,1
10nF,C25,C_0805_2012Metric,,1
74279220321,FB1,R_0805_2012Metric,,1
1.54M,R27,R_0805_2012Metric,,1
47uF,C4,C_1210_3225Metric,,1
100k,R19,R_0805_2012Metric,,1
MAX9910EXK+T,U33,SOT-353_SC-70-5,,1
