Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,150pF,C_0805_2012Metric,138.77,-68.27,270.0,bottom
C10,0.1uF,C_0805_2012Metric,145.97,-59.01,0.0,top
C11,0.1uF,C_0805_2012Metric,146.918666,-65.05,0.0,top
C12,0.1uF,C_0805_2012Metric,149.48,-59.0,0.0,top
C13,0.1uF,C_0805_2012Metric,150.438999,-65.05,0.0,top
C14,0.1uF,C_0805_2012Metric,153.01,-59.01,0.0,top
C15,0.1uF,C_0805_2012Metric,153.959332,-65.05,0.0,top
C16,0.1uF,C_0805_2012Metric,156.49,-59.0,0.0,top
C17,0.1uF,C_0805_2012Metric,157.479665,-65.05,0.0,top
C18,0.1uF,C_0805_2012Metric,159.97,-59.0,0.0,top
C19,10uF,C_0805_2012Metric,138.07,-70.52,180.0,top
C2,10uF,C_0805_2012Metric,129.52,-60.02,270.0,bottom
C22,390pF,C_0805_2012Metric,146.534,-75.565,270.0,bottom
C23,10uF,C_0805_2012Metric,149.5,-76.27,180.0,bottom
C24,10nF,C_0805_2012Metric,155.82,-70.02,180.0,bottom
C25,10nF,C_0805_2012Metric,150.1,-63.3,90.0,bottom
C27,10uF,C_0805_2012Metric,138.27,-71.02,0.0,bottom
C3,1nF,C_0805_2012Metric,144.27,-76.27,0.0,top
C4,47uF,C_1210_3225Metric,129.77,-71.501,180.0,bottom
C5,10uF,C_0805_2012Metric,130.1,-60.0,-90.0,top
C6,0.1uF,C_0805_2012Metric,138.98,-58.99,0.0,top
C7,0.1uF,C_0805_2012Metric,139.878,-65.05,0.0,top
C8,0.1uF,C_0805_2012Metric,142.48,-58.99,0.0,top
C9,0.1uF,C_0805_2012Metric,143.398333,-65.05,0.0,top
D1,BAS16J,D_SOD-323,134.52,-68.22,270.0,bottom
D2,BAS16J,D_SOD-323,157.52,-75.27,90.0,top
D3,BAV23S,SOT-23,139.878,-61.976,90.0,top
D4,BAV23S,SOT-23,143.4,-62.0,90.0,top
D5,BAV23S,SOT-23,146.918666,-62.0,90.0,top
D6,BAV23S,SOT-23,150.4,-62.0,90.0,top
D7,BAV23S,SOT-23,153.9,-62.0,90.0,top
D8,BAV23S,SOT-23,157.4,-62.0,90.0,top
D9,BAV23S,SOT-23,160.9,-62.0,90.0,top
F1,Polyfuse,R_0805_2012Metric,128.5,-71.501,90.0,top
FB1,74279220321,R_0805_2012Metric,127.52,-63.52,90.0,bottom
FB2,74279220321,R_0805_2012Metric,128.02,-60.0,90.0,top
G***,LOGO,QR_code_SafePulse,155.9,-63.755,0.0,top
G2,LOGO,HV warning,164.2,-67.7,0.0,bottom
G3,LOGO,HV warning,159.996,-66.929,0.0,top
H1,Cathode,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,138.66,-75.565,0.0,top
H2,Anode,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,164.06,-71.755,90.0,top
H4,Anode,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,164.06,-75.565,0.0,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,131.04,-75.565,90.0,top
L1,4.7uH,L_Taiyo-Yuden_MD-4040,134.5,-60.1,-90.0,top
Q1,FQT7N10L,SOT-223-3_TabPin4,131.826,-66.04,0.0,top
Q2,BC846A,SOT-323_SC-70,149.52,-73.02,90.0,bottom
Q3,MMBT3906,SOT-23,153.27,-72.77,0.0,bottom
Q4,MMBT3906,SOT-23,157.2,-75.52,180.0,bottom
R1,4.99M,R_1206_3216Metric,163.298,-67.183,-90.0,top
R10,22M,R_0805_2012Metric,139.858,-67.52,0.0,top
R11,33k,R_0805_2012Metric,141.52,-75.77,90.0,top
