Designator,Mid X,Mid Y,Rotation,Layer
C1,138.77,-68.27,270.0,bottom
C10,145.97,-59.01,0.0,top
C11,146.918666,-65.05,0.0,top
C12,149.48,-59.0,0.0,top
C13,150.438999,-65.05,0.0,top
C14,153.01,-59.01,0.0,top
C15,153.959332,-65.05,0.0,top
C16,156.49,-59.0,0.0,top
C17,157.479665,-65.05,0.0,top
C18,159.97,-59.0,0.0,top
C19,138.07,-70.52,180.0,top
C2,129.52,-60.02,270.0,bottom
C22,146.534,-75.565,270.0,bottom
C23,149.5,-76.27,180.0,bottom
C24,155.82,-70.02,180.0,bottom
C25,150.1,-63.3,90.0,bottom
C27,138.27,-71.02,0.0,bottom
C3,144.27,-76.27,0.0,top
C4,129.77,-71.501,180.0,bottom
C5,130.1,-60.0,270.0,top
C6,138.98,-58.99,0.0,top
C7,139.878,-65.05,0.0,top
C8,142.48,-58.99,0.0,top
C9,143.398333,-65.05,0.0,top
D1,134.52,-68.22,270.0,bottom
D2,157.52,-75.27,90.0,top
D3,139.878,-61.976,270.0,top
D4,143.4,-62.0,270.0,top
D5,146.918666,-62.0,270.0,top
D6,150.4,-62.0,270.0,top
D7,153.9,-62.0,270.0,top
D8,157.4,-62.0,270.0,top
D9,160.9,-62.0,270.0,top
F1,128.5,-71.501,90.0,top
FB1,127.52,-63.52,90.0,bottom
FB2,128.02,-60.0,90.0,top
G2,164.2,-67.7,0.0,bottom
G3,159.996,-66.929,0.0,top
H1,138.66,-75.565,0.0,top
H2,164.06,-71.755,90.0,top
H4,164.06,-75.565,0.0,top
J1,131.04,-75.565,90.0,top
L1,134.5,-60.1,270.0,top
Q1,131.826,-66.04,180.0,top
Q2,149.52,-73.02,90.0,bottom
Q3,153.27,-72.77,180.0,bottom
Q4,157.2,-75.52,0.0,bottom
R1,163.298,-67.183,270.0,top
R10,139.858,-67.52,0.0,top
R11,141.52,-75.77,90.0,top
R12,141.708,-72.771,180.0,bottom
R13,141.77,-70.52,180.0,top
R14,148.312,-69.215,180.0,bottom
R15,157.02,-72.02,180.0,bottom
R16,152.02,-70.02,0.0,bottom
R17,157.52,-71.4325,270.0,top
R18,141.77,-72.52,180.0,top
R19,153.0,-76.27,0.0,bottom
R20,147.3,-67.024,180.0,bottom
R21,141.708,-74.803,180.0,bottom
R22,144.502,-75.52,270.0,bottom
R23,147.2,-58.265,0.0,bottom
R24,143.8,-58.265,0.0,bottom
R25,141.52,-70.02,90.0,bottom
R26,128.27,-68.02,270.0,bottom
R27,148.1,-64.365,270.0,bottom
R3,141.708,-67.183,180.0,bottom
R4,136.52,-68.22,270.0,bottom
R5,127.52,-60.02,270.0,bottom
R6,145.02,-72.77,270.0,top
R7,150.438999,-67.52,180.0,top
R8,146.911998,-67.52,180.0,top
R9,143.384999,-67.52,180.0,top
TWO_PINHEADER1,164.06,-61.595,0.0,top
U1,144.52,-70.02,180.0,bottom
U2,135.27,-62.72,0.0,bottom
U3,145.2,-60.965,0.0,bottom
U33,145.0,-64.389,270.0,bottom
U4,151.27,-73.52,0.0,top
