Comment,Designator,Footprint,LCSC
220k,R15,R_0805_2012Metric,C104108
1M,R16,R_0805_2012Metric,C107700
FQT7N10L,Q1,SOT-223-3_TabPin4,C154506
10K,R4,R_0805_2012Metric,C161788
20k,R22,R_0805_2012Metric,C163977
10uF,"C19,C2,C23,C27,C4,C5",C_0805_2012Metric,C1713
390pF,C22,C_0805_2012Metric,C1818
4.7uH,L1,L_Taiyo-Yuden_MD-4040,C2043159
MAX9910EXK+T,U33,SOT-353_SC-70-5,C2057992
Polyfuse,F1,R_0805_2012Metric,C20978
TS4061AILT-1.25,U1,SOT-23,C2157484
118K,R20,R_0805_2012Metric,C228266
74HC14,U2,SOIC-14_3.9x8.7mm_P1.27mm,C232776
33k,R11,R_0805_2012Metric,C242487
CD14538BM,U4,SOIC-16_3.9x9.9mm_P1.27mm,C2652506
1nF,C3,C_0805_2012Metric,C277515
BAS16J,"D1,D2",D_SOD-323,C282360
BAV23S,"D3,D4,D5,D6,D7,D8,D9",SOT-23,C282370
499k,R17,R_0805_2012Metric,C317482
357k,R14,R_0805_2012Metric,C325883
100,"R12,R25,R5",R_0805_2012Metric,C328380
47k,R21,R_0805_2012Metric,C328397
1.54M,"R23,R27",R_0805_2012Metric,C332788
22M,"R10,R7,R8,R9",R_0805_2012Metric,C34719
22k,R24,R_0805_2012Metric,C352242
4.99M,R1,R_1206_3216Metric,C488845
BC846A,Q2,SOT-23,C507907
74279220321,"FB1,FB2",R_0805_2012Metric,C515370
150pF,C1,C_0805_2012Metric,C520084
MMBT3906,"Q3,Q4",SOT-23,C53444
0.1uF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C6,C7,C8,C9",C_0805_2012Metric,C710458
121k,R6,R_0805_2012Metric,C844393
1k,R18,R_0805_2012Metric,C95781
100k,"R13,R19,R3",R_0805_2012Metric,C96346
10nF,"C24,C25",C_0805_2012Metric,C97905
Conn_01x03_Male,two_pinheader1,PinHeader_1x02_P2.54mm_Vertical,
Anode,H2,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
Anode,H4,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,
Cathode,H1,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,
Conn_01x03_Male,J1,PinHeader_1x03_P2.54mm_Vertical,
S-35770E01I-K8T2U,IC1,SOP65P400X80-8N,
4208,J2,4208,
TLV27L1DBVT,U3,SOT-23-5,
