Comment,Designator,Footprint,JLCPCB Part #
150pF,C1,Capacitor_SMD:C_0805_2012Metric,C520084
10uF,"C2, C5, C19, C23, C27",Capacitor_SMD:C_0805_2012Metric,C1713
1nF,C3,Capacitor_SMD:C_0805_2012Metric,C277515
47uF,C4,Capacitor_SMD:C_1210_3225Metric,C68361
0.1uF,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",Capacitor_SMD:C_0805_2012Metric,C710458
390pF,C22,Capacitor_SMD:C_0805_2012Metric,C1741
10nF,"C24, C25",Capacitor_SMD:C_0805_2012Metric,C97905
BAS16J,"D1, D2",Diode_SMD:D_SOD-323,C282360
BAV23S,"D3, D4, D5, D6, D7, D8, D9",Package_TO_SOT_SMD:SOT-23,C282370
Polyfuse,F1,Resistor_SMD:R_0805_2012Metric,C20978
74279220321,"FB1, FB2",Resistor_SMD:R_0805_2012Metric,C515370
4.7uH,L1,Inductor_SMD:L_Taiyo-Yuden_MD-4040,C52024159
FQT7N10L,Q1,Package_TO_SOT_SMD:SOT-223-3_TabPin4,C154506
BC846A,Q2,Package_TO_SOT_SMD:SOT-23,C507907
MMBT3906,"Q3, Q4",Package_TO_SOT_SMD:SOT-23,C53444
4.99M,R1,Resistor_SMD:R_1206_3216Metric,C488845
100K,"R3, R13, R19",Resistor_SMD:R_0805_2012Metric,C96346
10K,R4,Resistor_SMD:R_0805_2012Metric,C161788
100,"R5, R12, R25",Resistor_SMD:R_0805_2012Metric,C328380
121k,R6,Resistor_SMD:R_0805_2012Metric,C17438
22M,"R7, R8, R9, R10",Resistor_SMD:R_0805_2012Metric,C34719
33k,R11,Resistor_SMD:R_0805_2012Metric,C218519
357k,R14,Resistor_SMD:R_0805_2012Metric,C865422
220k,R15,Resistor_SMD:R_0805_2012Metric,C104108
1M,R16,Resistor_SMD:R_0805_2012Metric,C107700
499k,R17,Resistor_SMD:R_0805_2012Metric,C17721
1k,R18,Resistor_SMD:R_0805_2012Metric,C95781
118K,R20,Resistor_SMD:R_0805_2012Metric,C17427
47k,R21,Resistor_SMD:R_0805_2012Metric,C328397
20k,R22,Resistor_SMD:R_0805_2012Metric,C163977
1.54M,"R23, R27",Resistor_SMD:R_0805_2012Metric,C320608
22k,R24,Resistor_SMD:R_0805_2012Metric,C445659
0.1E,R26,Resistor_SMD:R_0805_2012Metric,C127687
TS4061AILT-1.25,U1,Package_TO_SOT_SMD:SOT-23,C2157512
74HC14,U2,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C232776
MAX9910EXK+T,U33,Package_TO_SOT_SMD:SOT-353_SC-70-5,C2057992
CD14538BM,U4,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C56163
