Designator,Mid X,Mid Y,Rotation,Layer
C1,12.2,9.4,270.0,bottom
C10,19.27,18.355,0.0,top
C11,20.218666,12.315,0.0,top
C12,22.78,18.365,0.0,top
C13,23.738999,12.315,0.0,top
C14,26.31,18.355,0.0,top
C15,27.259332,12.315,0.0,top
C16,29.79,18.365,0.0,top
C17,30.779665,12.315,0.0,top
C18,33.27,18.365,0.0,top
C19,11.37,6.845,180.0,top
C2,2.9,17.8,270.0,bottom
C22,20.05,1.8,270.0,bottom
C23,22.8,1.095,180.0,bottom
C24,29.12,7.345,180.0,bottom
C25,23.4,14.065,90.0,bottom
C27,11.57,6.345,0.0,bottom
C3,17.57,1.095,0.0,top
C4,9.15,3.35,270.0,bottom
C5,3.4,17.365,270.0,top
C6,12.28,18.375,0.0,top
C7,13.178,12.315,0.0,top
C8,15.78,18.375,0.0,top
C9,16.698333,12.315,0.0,top
D1,8.1,9.5,270.0,bottom
D2,30.82,2.095,90.0,top
D3,13.178,15.389,270.0,top
D4,16.7,15.365,270.0,top
D5,20.218666,15.365,270.0,top
D6,23.7,15.365,270.0,top
D7,27.2,15.365,270.0,top
D8,30.7,15.365,270.0,top
D9,34.2,15.365,270.0,top
F1,0.9,5.45,90.0,top
FB1,0.82,13.845,90.0,bottom
FB2,1.32,17.365,90.0,top
H1,11.96,1.8,0.0,top
H2,37.36,5.61,90.0,top
H4,37.36,1.8,0.0,top
IC1,5.4,5.8,180.0,top
J1,4.325,1.8,90.0,top
J2,3.3,7.4,90.0,bottom
L1,7.8,17.265,270.0,top
Q1,5.126,11.325,180.0,top
Q2,23.17,4.71,90.0,bottom
Q3,26.57,4.595,180.0,bottom
Q4,30.5,1.845,0.0,bottom
R1,36.598,10.182,270.0,top
R10,13.158,9.845,0.0,top
R11,14.85,2.15,90.0,top
R12,15.35,4.65,180.0,bottom
R13,15.07,6.845,180.0,top
R14,21.612,8.15,180.0,bottom
R15,30.32,5.345,180.0,bottom
R16,25.32,7.345,0.0,bottom
R17,30.82,5.9325,270.0,top
R18,15.07,4.845,180.0,top
R19,26.3,1.095,0.0,bottom
R20,20.6,10.341,180.0,bottom
R21,15.35,2.6,180.0,bottom
R22,18.05,1.8,270.0,bottom
R23,20.5,19.1,0.0,bottom
R24,17.1,19.1,0.0,bottom
R25,14.9,7.45,90.0,bottom
R27,21.4,13.0,270.0,bottom
R3,15.008,10.182,180.0,bottom
R4,10.1,9.4,270.0,bottom
R5,0.82,17.345,270.0,bottom
R6,18.32,4.595,270.0,top
R7,23.738999,9.845,180.0,top
R8,20.211998,9.845,180.0,top
R9,16.684999,9.845,180.0,top
U1,17.82,7.345,180.0,bottom
U2,8.57,15.6,0.0,bottom
U3,18.5,16.4,0.0,bottom
U33,18.3,12.976,270.0,bottom
U4,24.57,3.845,0.0,top
two_pinheader1,37.36,15.765,0.0,top
